date,new_cases,total_cases,new_deaths,total_deaths,new_tests,total_tests,cases_per_million,deaths_per_million,tests_per_million
2020-07-25,252.0,246035.5,5.0,35097.0,28059.0,3897818.0,4.167918971950368,0.08269680499901524,464.07793029347374
2020-07-26,274.0,246309.5,5.0,35102.0,25177.0,3922995.0,4.531784913946035,0.08269680499901524,416.4114918920414
2020-07-27,254.0,246563.5,5.0,35107.0,19374.0,3942369.0,4.200997693949975,0.08269680499901524,320.4335800101843
2020-07-28,168.0,246731.5,5.0,35112.0,25341.0,3967710.0,2.7786126479669124,0.08269680499901524,419.1239470960091
2020-07-29,202.0,246933.5,11.0,35123.0,30875.0,3998585.0,3.340950921960216,0.18193297099783354,510.65277086891916
2020-07-30,288.0,247221.5,6.0,35129.0,33396.0,4031981.0,4.763335967943278,0.0992361659988183,552.3484999494226
2020-07-31,382.0,247603.5,3.0,35132.0,29686.0,4061667.0,6.318035901924765,0.04961808299940915,490.98747064015333
2020-08-01,379.0,247982.5,9.0,35141.0,31905.0,4093572.0,6.268417818925355,0.14885424899822744,527.6883126987162
2020-08-02,295.0,248277.5,5.0,35146.0,24496.0,4118068.0,4.8791114949419,0.08269680499901524,405.1481870511755
2020-08-03,238.0,248515.5,8.0,35154.0,13467.0,4131535.0,3.9363679179531257,0.1323148879984244,222.73557458434766
2020-08-04,159.0,248674.5,12.0,35166.0,23491.0,4155026.0,2.629758398968685,0.1984723319976366,388.52612924637344
2020-08-05,190.0,248864.5,5.0,35171.0,29739.0,4184765.0,3.1424785899625793,0.08269680499901524,491.86405677314286
2020-08-06,384.0,249248.5,10.0,35181.0,32169.0,4216934.0,6.351114623924371,0.1653936099980305,532.0547040026643
2020-08-07,401.0,249649.5,6.0,35187.0,30392.0,4247326.0,6.632283760921022,0.0992361659988183,502.6642595060143
2020-08-08,552.0,250201.5,3.0,35190.0,26631.0,4273957.0,9.129727271891284,0.04961808299940915,440.459722785755
2020-08-09,347.0,250548.5,13.0,35203.0,22773.0,4296730.0,5.739158266931658,0.21501169299743964,376.65086804851484
2020-08-10,463.0,251011.5,2.0,35205.0,10904.0,4307634.0,7.657724142908812,0.0330787219996061,180.34519234185245
2020-08-11,259.0,251270.5,4.0,35209.0,22063.0,4329697.0,4.283694498948989,0.0661574439992122,364.9079217386547
2020-08-12,412.0,251682.5,6.0,35215.0,27330.0,4357027.0,6.814216731918856,0.0992361659988183,452.0207361246173
2020-08-13,476.0,252158.5,10.0,35225.0,25629.0,4382656.0,7.872735835906251,0.1653936099980305,423.88728306395234
2020-08-14,522.0,252680.5,6.0,35231.0,24868.0,4407524.0,8.633546441897192,0.0992361659988183,411.30082934310224
2020-08-15,574.0,253254.5,3.0,35234.0,25937.0,4433461.0,9.49359321388695,0.04961808299940915,428.9814062518917
2020-08-16,629.0,253883.5,158.0,35392.0,22470.0,4455931.0,10.403258068876118,2.6132190379688818,371.6394416655745
2020-08-17,477.0,254360.5,4.0,35396.0,21379.0,4477310.0,7.889275196906055,0.0661574439992122,353.5949988147894
2020-08-18,320.0,254680.5,4.0,35400.0,32687.0,4509997.0,5.292595519936976,0.0661574439992122,540.6220930005622
2020-08-19,401.0,255081.5,5.0,35405.0,41290.0,4551287.0,6.632283760921022,0.08269680499901524,682.910215681868
2020-08-20,642.0,255723.5,7.0,35412.0,49662.0,4600949.0,10.618269761873558,0.11577552699862134,821.377745972219
2020-08-21,840.0,256563.5,6.0,35418.0,44943.0,4645892.0,13.89306323983456,0.0992361659988183,743.3285014141485
2020-08-22,947.0,257510.5,9.0,35427.0,46613.0,4692505.0,15.662774866813487,0.14885424899822744,770.9492342838196
2020-08-23,1071.0,258581.5,3.0,35430.0,47463.0,4739968.0,17.713655630789066,0.04961808299940915,785.0076911336521
2020-08-24,1209.0,259790.5,7.0,35437.0,33358.0,4773326.0,19.996087448761887,0.11577552699862134,551.7200042314302
2020-08-25,953.0,260743.5,4.0,35441.0,45798.0,4819124.0,15.762011032812305,0.0661574439992122,757.46965506898
2020-08-26,876.0,261619.5,4.0,35445.0,58054.0,4877178.0,14.48848023582747,0.0661574439992122,960.1760634825662
2020-08-27,1366.0,262985.5,13.0,35458.0,57640.0,4934818.0,22.592767125730965,0.21501169299743964,953.3287680286478
2020-08-28,1409.0,264394.5,5.0,35463.0,65135.0,4999953.0,23.303959648722497,0.08269680499901524,1077.2912787221717
2020-08-29,1460.0,265854.5,9.0,35472.0,64294.0,5064247.0,24.14746705971245,0.14885424899822744,1063.3816761213373
2020-08-30,1444.0,267298.5,1.0,35473.0,53541.0,5117788.0,23.882837283715602,0.01653936099980305,885.533927290455
2020-08-31,1365.0,268663.5,4.0,35477.0,42583.0,5160371.0,22.57622776473116,0.0661574439992122,704.2956094546132
2020-09-01,996.0,269659.5,6.0,35483.0,54395.0,5214766.0,16.47320355580384,0.0992361659988183,899.6585415842869
2020-09-02,975.0,270634.5,8.0,35491.0,,,16.125876974807973,0.1323148879984244,
2020-09-03,1326.0,271960.5,6.0,35497.0,,,21.931192685738843,0.0992361659988183,
